# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
283           	1.816013e-01	2.818491e-02	3.542803e-02
284           	1.910041e-01	2.856556e-02	3.525424e-02
285           	2.056442e-01	2.903898e-02	3.509600e-02
286           	2.220871e-01	2.964391e-02	3.507531e-02
287           	2.194529e-01	3.013069e-02	3.468332e-02
288           	2.260409e-01	3.048126e-02	3.397941e-02
289           	2.302955e-01	3.100652e-02	3.349050e-02
290           	2.080822e-01	3.138820e-02	3.280526e-02
291           	2.266627e-01	3.160160e-02	3.221385e-02
292           	2.127656e-01	3.210976e-02	3.191904e-02
293           	2.049759e-01	3.219800e-02	3.132940e-02
294           	1.992647e-01	3.223316e-02	3.086540e-02
295           	1.938212e-01	3.229515e-02	3.038490e-02
296           	1.918675e-01	3.225995e-02	3.004405e-02
297           	1.840343e-01	3.221972e-02	2.983399e-02
298           	1.805507e-01	3.208596e-02	2.959649e-02
299           	1.759637e-01	3.189099e-02	2.941602e-02
300           	1.729784e-01	3.166793e-02	2.925062e-02
301           	1.673998e-01	3.134861e-02	2.915454e-02
302           	1.640233e-01	3.097373e-02	2.920929e-02
303           	1.596904e-01	3.055064e-02	2.933422e-02
304           	1.555266e-01	3.013805e-02	2.950841e-02
305           	1.510880e-01	2.970314e-02	2.976532e-02
306           	1.481227e-01	2.926005e-02	3.001937e-02
307           	1.472240e-01	2.875551e-02	3.033137e-02
308           	1.465393e-01	2.830539e-02	3.065491e-02
309           	1.482682e-01	2.798838e-02	3.105799e-02
310           	1.478922e-01	2.755926e-02	3.134704e-02
311           	1.466459e-01	2.713054e-02	3.162588e-02
312           	1.477042e-01	2.671358e-02	3.193571e-02
313           	1.483232e-01	2.630658e-02	3.225884e-02
314           	1.483812e-01	2.586082e-02	3.260451e-02
315           	1.477591e-01	2.539430e-02	3.287997e-02
316           	1.469655e-01	2.491339e-02	3.315505e-02
317           	1.469058e-01	2.444506e-02	3.340900e-02
318           	1.464442e-01	2.399546e-02	3.370078e-02
319           	1.451603e-01	2.353723e-02	3.395817e-02
320           	1.443286e-01	2.305528e-02	3.416165e-02
321           	1.428825e-01	2.252631e-02	3.428632e-02
322           	1.415621e-01	2.200547e-02	3.427185e-02
323           	1.391404e-01	2.145433e-02	3.420108e-02
324           	1.351833e-01	2.090749e-02	3.415639e-02
325           	1.317959e-01	2.034119e-02	3.398517e-02
326           	1.270939e-01	1.980651e-02	3.351586e-02
327           	1.227889e-01	1.930189e-02	3.301042e-02
328           	1.169097e-01	1.883003e-02	3.241725e-02
329           	1.121823e-01	1.838111e-02	3.167760e-02
330           	1.074522e-01	1.794032e-02	3.096764e-02
331           	1.032771e-01	1.755283e-02	3.013759e-02
332           	9.930975e-02	1.720044e-02	2.938632e-02
333           	9.515956e-02	1.687882e-02	2.858951e-02
334           	9.074633e-02	1.657355e-02	2.785419e-02
335           	8.796350e-02	1.629799e-02	2.716875e-02
