# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
277           	1.904478e-05	1.797741e-05	8.089395e-06
278           	1.855054e-05	1.750498e-05	7.897954e-06
279           	1.807708e-05	1.705930e-05	7.679222e-06
280           	1.760413e-05	1.661119e-05	7.497618e-06
281           	1.715344e-05	1.618842e-05	7.290124e-06
282           	1.670486e-05	1.576339e-05	7.117786e-06
283           	1.627910e-05	1.536237e-05	6.920857e-06
284           	1.585519e-05	1.495917e-05	6.757273e-06
285           	1.544866e-05	1.457871e-05	6.570335e-06
286           	1.504850e-05	1.419620e-05	6.414947e-06
287           	1.466325e-05	1.383524e-05	6.237358e-06
288           	1.428404e-05	1.347233e-05	6.089692e-06
289           	1.392087e-05	1.312984e-05	5.920969e-06
290           	1.355908e-05	1.278548e-05	5.780659e-06
291           	1.321276e-05	1.246049e-05	5.620364e-06
292           	1.286914e-05	1.213375e-05	5.486973e-06
293           	1.254116e-05	1.182536e-05	5.334632e-06
294           	1.221716e-05	1.151527e-05	5.207820e-06
295           	1.190510e-05	1.122256e-05	5.063067e-06
296           	1.159557e-05	1.092828e-05	4.942517e-06
297           	1.129931e-05	1.065049e-05	4.804915e-06
298           	1.100560e-05	1.037120e-05	4.690258e-06
299           	1.072628e-05	1.010752e-05	4.559463e-06
300           	1.044656e-05	9.842405e-06	4.450468e-06
301           	1.017933e-05	9.592112e-06	4.326183e-06
302           	9.913438e-06	9.340472e-06	4.222546e-06
303           	9.660202e-06	9.102874e-06	4.104420e-06
304           	9.443895e-06	8.867951e-06	3.994088e-06
305           	9.237357e-06	8.637661e-06	3.892484e-06
306           	9.032532e-06	8.413198e-06	3.795126e-06
307           	8.830941e-06	8.194908e-06	3.698045e-06
308           	8.624434e-06	7.982674e-06	3.600484e-06
309           	8.412273e-06	7.776193e-06	3.504232e-06
310           	8.197796e-06	7.575062e-06	3.411031e-06
311           	7.986517e-06	7.379002e-06	3.321599e-06
312           	7.780186e-06	7.187922e-06	3.235375e-06
313           	7.581535e-06	7.001690e-06	3.151334e-06
314           	7.389693e-06	6.820132e-06	3.068798e-06
315           	7.202277e-06	6.643191e-06	2.987972e-06
316           	7.018950e-06	6.470767e-06	2.909193e-06
